AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ
540,144,-16660,27.07,-198,69,-149
21732,-5736,15908,27.07,-7947,32767,32767
11492,-10432,9136,27.17,-19892,-7853,-18745
16724,-756,-7196,27.07,194,-24127,6922
6352,5816,-8308,27.02,-2128,-10552,8214
3468,-2840,3312,27.12,7468,17064,6287
32767,-8472,21620,27.02,-14225,32767,4293
23440,-2592,2492,27.12,-16389,-21146,-14613
22828,4344,-4664,27.12,7624,13265,-7360
23560,-7708,1340,27.02,16478,-16155,12140
25224,-7920,292,27.07,-8496,-21105,23351
8780,3052,5128,27.07,-2388,-9570,2793
17356,-11400,1436,27.07,31820,29998,-30664
28512,-10476,1112,27.02,-171,7744,-2725
28044,-3804,1372,27.12,-13479,-32013,32767
16796,-2280,100,27.12,-11347,-4650,4396
16224,2056,1152,27.07,-5361,-499,-3082
18280,-11416,3936,27.12,-11957,26948,-18492
20176,-20880,-6096,27.02,18588,20400,474
21096,-10432,-1300,27.12,20454,7390,20123
32767,-7800,10084,27.07,-32768,-25551,10088
12032,-2568,7732,27.07,15964,-31008,-11109
2552,-11852,8340,27.12,-22457,32767,-13692
32767,-27176,-15656,27.12,14937,30371,-32768
12000,-5432,-496,27.02,-28131,-10556,3848
14008,2100,3464,27.07,-23043,8021,1922
13476,-10116,1124,27.02,21049,-2180,548
19536,-11640,-164,27.12,1745,-12064,6205
14672,-2064,-1024,27.07,-16879,-20125,-9447
12612,4652,1268,27.07,2686,13248,8061
31656,-2904,6208,27.07,23738,26746,-13703
17448,-19480,-1004,27.02,-11856,-8471,-7313
16004,1640,4116,27.02,-16079,-13566,14411
12632,-5180,1516,26.98,107,683,-1913
23924,-17612,-2424,26.98,32767,8109,-6858
16220,-4836,3108,27.07,-32768,-12687,9375
15072,1292,3824,27.12,-7913,3936,10694
27516,1544,6288,26.98,4929,32767,-16230
16972,-9360,-208,27.12,-20890,-14164,5997
12644,-6060,-780,27.07,5305,-6086,-56
23016,-3440,3508,27.17,-27310,-9723,9237
12808,-7024,3256,27.17,-9734,4401,-12483
21212,-2456,3048,27.07,-20460,20275,22653
22172,-5128,5992,27.17,32767,-3669,-16284
10292,-11124,6060,27.12,-6734,-7082,19528
12372,-10260,7048,27.17,-24911,-21647,-5045
14960,-6152,-796,27.17,13247,-7898,7421
11944,-16596,-1672,27.12,-32768,6785,10611
19464,-3556,776,27.12,-32768,22098,11291
12572,-9592,-8488,27.02,-20778,-3564,12632
6732,3844,-11360,27.12,7942,-3226,-813
1940,116,-11952,27.07,-4289,-7318,5273
1492,-5948,-18872,27.12,-7534,-276,-8773
-444,-10480,-17208,27.21,4869,-18814,6543
-7816,-5740,-11252,27.12,7181,-9109,-20135
-8324,-9180,-9372,27.12,-1073,10708,-2922
-8972,-7320,-8284,27.12,-28206,15904,-15838
-1040,-3780,-14056,27.12,3128,876,-2820
10980,-2064,-12564,27.17,7742,-2851,480
44,-12828,-12568,27.12,961,-768,-1807
-256,-7216,-14656,27.02,-1089,24,2469
204,-11404,-11916,27.07,-1139,520,1428
-1784,-9388,-13328,27.07,114,638,320
-752,-9228,-13840,27.07,244,284,2648
-1228,-10336,-15520,27.12,-3868,-1620,2081
-1388,-6244,-11944,27.07,3849,-14336,5879
-4188,-15312,-11328,27.12,-8803,12532,-8334
-9676,-9508,-10636,27.12,17399,-5243,-9616
-17392,-14428,-3096,27.12,26868,-17412,11189
-9940,-5256,9684,27.17,7243,2452,8455
-9920,-7460,6208,27.17,3016,2490,-5513
-9944,-4456,8336,27.12,-32768,32767,-32768
24504,-17320,-4188,27.17,5174,18035,13233
32767,-10476,18180,27.07,-32768,32767,22744
25292,3060,11068,27.07,32767,-4301,9494
8132,-14420,-1460,27.02,4283,3074,-7924
25820,-5988,-5376,27.17,-17154,1931,24431
17964,-740,3676,27.17,-989,-10314,5816
11232,-2944,1156,27.21,3651,-3448,-4661
13616,-4500,-1424,27.17,25485,5217,-14187
17536,-10128,-8700,27.07,5379,-6045,-2770
24612,-5468,-9912,27.17,22353,-15996,10325
7732,2016,3064,27.02,-8587,-11550,-8239
11848,1720,-68,27.26,6506,12680,-657
29088,-7088,2692,27.21,3076,5748,1708
14492,-4440,520,27.02,-20897,-424,398
16024,1252,3748,27.12,14556,3760,-14275
12232,-3076,572,27.07,16697,11926,3452
24756,-612,-2532,27.17,15521,-2938,6234
17900,7916,1280,27.12,-20150,-16502,-9560
9980,400,5604,27.12,23067,14265,7430
15468,-13536,1968,27.17,-18635,8625,-18515
14548,-960,-1360,27.02,-20561,-2276,-3328
12492,-2144,760,27.12,-2824,4950,-4848
28456,-12904,1652,27.17,32767,9227,-5434
14568,-6164,-860,27.12,-32768,-6105,3374
16632,4808,3720,27.21,-22181,-4748,3258
20240,-20300,-19436,27.02,-725,-15338,16839
7776,2856,-1572,27.26,-30672,-17720,2071
9788,-3496,-9500,27.07,3288,10892,-1840
-2872,1804,3700,27.12,-10272,-6299,5888
13008,10948,-20252,27.07,-842,2423,-11503
-1488,3040,-8672,27.17,-7698,21394,-10227
12548,2900,-8452,27.12,-23232,6711,9931
17552,1840,1188,27.07,17232,3611,30199
22860,-1892,2748,27.17,32767,26894,-13639
23020,-14936,1880,27.21,1638,-15902,22979
11200,-3488,1988,27.12,-16957,5489,-3384
16240,656,676,27.12,19239,7972,-5681
20608,-7472,-5788,27.07,-2384,-5150,-4176
14832,-5888,2432,27.12,-4649,-2815,3698
14588,-3452,4860,27.17,-3997,3001,1428
31672,-5964,-13164,27.17,-28747,-2325,21787
20128,3172,-2424,27.26,7060,-32768,19899
300,2832,4620,27.17,-1244,-23976,7796
-2424,1260,10864,27.07,-5309,32767,-15717
32767,92,32767,27.07,32767,32767,-32768
23808,-17296,7388,27.12,-22116,-32768,-3858
19492,-3604,2768,27.17,-3359,5901,-1066
25360,2312,14628,27.12,-32768,-32768,8102
6440,-8100,5756,27.07,-5336,2057,6423
30156,-16060,8552,27.17,32767,19716,-25185
17352,-6324,1864,27.12,-32768,3921,-9117
15880,-2676,-1636,27.12,-8703,-4791,3188
17956,-1820,2760,27.12,1656,-8634,-4706
18484,-4300,1708,27.17,-10093,1412,-2753
17564,1192,-2524,27.21,-3855,3040,4774
11064,5608,-6208,27.12,-32014,4565,-6333
7172,-23620,-7140,27.21,7997,-21224,15785
9112,-12836,-12656,27.21,-8021,-8885,29143
12372,10028,-16996,27.12,32767,-14741,-16489
2260,1336,-16628,27.17,-6255,127,-3284
3932,-2980,-17728,27.02,-491,-856,-7152
-5596,-4672,-10056,27.07,1614,-4055,4514
14268,11160,-3044,27.12,6425,32767,-32768
20012,-4992,-11040,27.17,10306,32767,-5623
15844,17112,748,27.12,-3378,-89,-32768
6836,15540,-580,27.12,-1557,7082,-11779
6076,16040,720,27.07,2260,872,489
5396,15380,732,27.21,-559,-1323,479
6496,15556,536,27.17,-237,-1027,1589
21644,13352,-2388,27.21,-626,-24240,27098
17832,9608,-3256,27.02,-800,-32640,32767
-18184,15952,-20180,27.07,5140,5481,-9879
-4484,-18780,-8644,27.12,-6928,173,-14970
1828,-16620,-7528,27.07,-10029,26242,27526
-6272,-15396,-6136,27.21,-3325,6742,271
21616,-23928,-5016,27.17,355,27017,14386
968,-16568,-3068,27.17,-9939,3585,10950
12712,-5676,-6352,27.17,-6974,-2557,9184
14020,-9340,-9576,27.12,4640,-2547,-4501
6240,-7864,-11632,27.17,7486,-2345,-3776
10192,-8224,-11168,27.07,-11361,-5769,-11422
4504,-756,-1988,27.07,12375,-1259,-16157
30868,-480,2016,27.17,32767,7313,-2123
6196,912,340,27.12,-19358,3476,-8212
19136,-5060,-848,27.07,-9962,-4529,368
19324,2840,-4424,27.12,-3584,4112,-9581
12956,1896,-1308,27.21,6168,1540,-11202
17384,12728,-3608,27.17,4453,-6947,-3306
12932,22312,-576,27.07,-2890,4758,-5537
24084,13388,-1208,27.07,5713,-2457,9680
17160,8828,-1364,27.21,2759,317,-4486
15052,13452,-3888,27.12,-8173,-6972,-9619
9140,8356,-5288,27.12,-1915,-6730,-11743
7164,10352,-10716,27.12,6670,-4325,9451
9152,4512,-9320,27.17,10899,-10798,17737
4828,408,-13628,27.17,7000,-12092,14061
-1040,-1276,-14996,27.21,-850,-12353,15145
-564,3112,-13664,27.12,-4826,-3713,13136
-4096,-368,-10608,27.17,-3891,2103,9934
5324,220,-16144,27.17,649,9771,4296
2852,3180,-17640,27.21,-2139,6272,2726
7964,8952,-14596,27.17,6738,-2841,-2251
1976,4404,-13908,27.21,-312,-1151,4018
3204,1296,-15120,27.17,-3847,-524,3189
340,5252,-14040,27.26,186,-2656,-3323
1692,2944,-14952,27.17,-774,1741,-100
2944,4248,-16320,27.17,1759,660,5657
4012,2572,-15292,27.12,-550,1675,334
